,name,gender,origin,meaning
SYMEONU,SYMEONU,['m'],['Old Church Slavic'],Old Slavic form of SIMEON.
SYMON,SYMON,['m'],['Ukrainian (Rare)'],Ukrainian form of SIMON(1) (mostly ecclesiastical usage).
SYMPHONY,SYMPHONY,['f'],['English (Rare)'],"Simply from the English word, ultimately deriving from Greek συμφωνος(symphonos) ""concordant in sound""."
SYNNE,SYNNE,['f'],['Norwegian'],Short form of SYNNØVE.
SYNNÖVE,SYNNÖVE,['f'],['Swedish'],Swedish form of SUNNIVA.
SYNNØVE,SYNNØVE,['f'],['Norwegian'],Norwegian variant of SUNNIVA.
SYNTYCHE,SYNTYCHE,['f'],"['Biblical', 'Biblical Greek', 'Ancient Greek']","Ancient Greek name meaning ""common fate"". This is the name of a woman mentioned in Paul's epistle to the Philippians in the New Testament."
SYUZANNA,SYUZANNA,['f'],['Russian'],Russian variant of SUSANNA.
SZABINA,SZABINA,['f'],['Hungarian'],Hungarian form of SABINA.
SZABOLCS,SZABOLCS,['m'],['Hungarian'],"Meaning unknown, possibly from a Slavic word meaning ""marten"". It was borne by a leader of the Magyars at the time of Árpád. This is now the name of a region in Hungary."
SZANDRA,SZANDRA,['f'],['Hungarian'],Hungarian short form of ALEXANDRA.
SZCZEPAN,SZCZEPAN,['m'],['Polish'],Polish form of STEPHEN.
SZCZĘSNY,SZCZĘSNY,['m'],['Polish'],"Means ""lucky, successful, happy"" in Polish, a vernacular form of Felix."
SZILVESZTER,SZILVESZTER,['m'],['Hungarian'],Hungarian form of SILVESTER.
SZILVIA,SZILVIA,['f'],['Hungarian'],Hungarian form of SILVIA.
SZILÁRD,SZILÁRD,['m'],['Hungarian'],"Means ""solid, firm"" in Hungarian, also used as a Hungarian vernacular form of Constantine."
SZONJA,SZONJA,['f'],['Hungarian'],Hungarian form of SONYA.
SZYMON,SZYMON,['m'],['Polish'],Polish form of SIMON(1).
SÁMUEL,SÁMUEL,['m'],['Hungarian'],Hungarian form of SAMUEL.
SÁNDOR,SÁNDOR,['m'],['Hungarian'],Hungarian form of ALEXANDER.
SÁRA,SÁRA,['f'],"['Hungarian', 'Czech', 'Slovak']","Hungarian, Czech and Slovak form of SARAH."
SÁRI,SÁRI,['f'],['Hungarian'],Hungarian diminutive of SARAH.
SÁRIKA,SÁRIKA,['f'],['Hungarian'],Hungarian diminutive of SARAH.
SÄDE,SÄDE,['f'],['Finnish'],"Means ""ray of light"" in Finnish."
SÆWINE,SÆWINE,['m'],['Anglo-Saxon'],"Derived from the Old English elements sæ ""sea"" and wine ""friend""."
SÉ,SÉ,['m'],['Irish'],Variant of SÉAGHDHA.
SÉAFRA,SÉAFRA,['m'],['Irish'],Irish form of GEOFFREY.
SÉAGHDHA,SÉAGHDHA,['m'],['Irish'],"Possibly means ""admirable"" or ""hawk-like"" in Gaelic."
SÉAMAS,SÉAMAS,['m'],['Irish'],Irish form of JAMES.
SÉAMUS,SÉAMUS,['m'],['Irish'],Irish form of JAMES.
